userId,beer_beerid,beer_name,beer_style,beer_abv,review_overall,review_time
5,1230,EKU 28,Doppelbock,11,4,1294527774
5,1307,Der Weisse Bock,Weizenbock,8.5,4,1254787806
5,1444,Bell's Expedition Stout,Russian Imperial Stout,10.5,4,1290222172
5,1545,Trappist Westvleteren 12,Quadrupel (Quad),10.2,4,1307576753
5,1717,Saison Dupont,Saison / Farmhouse Ale,6.5,4.5,1311199757
5,1830,Out Of Bounds Stout,Irish Dry Stout,6.3,4,1320360541
5,1901,Zywiec Porter,Baltic Porter,9.5,4,1304033686
5,1934,Schneider Aventinus Weizen-Eisbock,Eisbock,12,4,1266191140
5,2093,90 Minute IPA,American Double / Imperial IPA,9,4,1289346965
5,2392,World Wide Stout,American Double / Imperial Stout,18,4,1307916906
5,2671,Sierra Nevada Bigfoot Barleywine Style Ale,American Barleywine,9.6,4,1299798494
5,2732,Bell's Consecrator Doppelbock,Doppelbock,8,4,1260580896
5,2899,Andechser Doppelbock Dunkel,Doppelbock,7.1,5,1256077621
5,3054,Piton Lager Beer,American Adjunct Lager,5,3,1258769861
5,3338,Cadillac Mountain Stout,American Stout,6.7,4.5,1315351904
5,3606,Weltenburger Kloster Asam-Bock,Doppelbock,6.9,4.5,1293835842
5,3833,AleSmith Speedway Stout,American Double / Imperial Stout,12,4,1296427369
5,3877,Dark Horse Reserve Special Black Bier Ale,American Strong Ale,7.5,4,1268268331
5,3916,AleSmith IPA,American IPA,7.25,4,1294960199
5,7971,Pliny The Elder,American Double / Imperial IPA,8,5,1288398770
5,9086,120 Minute IPA,American Double / Imperial IPA,18,4,1268780301
5,10325,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout,9.5,4.5,1314480637
5,10672,Bourbon County Brand Stout,American Double / Imperial Stout,14.5,4.5,1264462207
5,11582,Kulmbacher Reichelbrau Eisbock,Eisbock,9.2,4,1298071903
5,11757,Founders Breakfast Stout,American Double / Imperial Stout,8.3,4,1258767118
5,12770,Damnation,Belgian Strong Pale Ale,7.75,4.5,1299886008
5,15589,Thomas Hooker Liberator Doppelbock,Doppelbock,8,4.5,1290215426
5,16814,Heady Topper,American Double / Imperial IPA,8,4.5,1316646992
5,16909,Allagash Curieux (Bourbon Barrel-Aged Tripel),Tripel,11,4.5,1321648671
5,17112,Bell's Hopslam Ale,American Double / Imperial IPA,10,5,1263509489
5,19216,Oak Aged Yeti Imperial Stout,Russian Imperial Stout,9.5,4,1298592549
5,19796,Great Lakes Glockenspiel Weizenbock,Weizenbock,8,4.5,1254261839
5,21296,Smuttynose S'muttonator (Big Beer Series),Doppelbock,8.5,3.5,1322782324
5,21822,Founders Imperial Stout,Russian Imperial Stout,10.5,4,1292025037
5,22381,Dark Horse Double Crooked Tree IPA,American Double / Imperial IPA,13.6,4,1258240355
5,24071,Gonzo Imperial Porter,Baltic Porter,9.2,4.5,1266194475
5,24357,Samael's Ale,English Barleywine,16.45,4,1307921411
5,27792,Ettaler Curator Doppelbock (US Import Version),Doppelbock,9,4.5,1298759796
5,28877,Beer Geek Breakfast,American Double / Imperial Stout,7.5,4.5,1291834665
5,30288,Double Simcoe IPA,American Double / Imperial IPA,9,4,1315613462
5,32423,Red Barn Ale,Saison / Farmhouse Ale,6.7,4.5,1299965748
5,33243,Wipeout I.P.A.,American IPA,7,4,1294445003
5,34146,Founders Double Trouble,American Double / Imperial IPA,9.4,4,1297990382
5,34311,Aardmonnik - Earthmonk,Flanders Oud Bruin,8,4.5,1305921057
5,34312,Pannepot Reserva,Quadrupel (Quad),10,4.5,1298150610
5,34483,Ten FIDY,Russian Imperial Stout,10.5,4,1252626822
5,35625,Weihenstephaner Vitus,Weizenbock,7.7,4.5,1308601427
5,35738,Hop Stoopid,American Double / Imperial IPA,8,4.5,1291418042
5,37113,Old Stock Cellar Reserve (Aged In Bourbon Barrels),Old Ale,13.16,4.5,1298504754
5,38334,Black Albert,Russian Imperial Stout,13,4,1273702877
5,38530,Red Poppy Ale,Flanders Red Ale,5.5,4,1301704381
5,38818,Chocolate Indulgence Stout,Belgian Dark Ale,7,4,1299357323
5,40674,Smuttynose Baltic Porter (Big Beer Series),Baltic Porter,9,5,1292460351
5,41453,Hr. Frederiksen,Russian Imperial Stout,10.5,4,1294450573
5,41815,Parabola,Russian Imperial Stout,12.5,5,1311204031
5,43491,Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,American Double / Imperial Stout,9.2,4.5,1309900842
5,46221,Triple Bock,Doppelbock,13.2,4,1275858599
5,46230,Mother Of All Storms,English Barleywine,13.5,4.5,1299366321
5,47228,Iniquity (Imperial Black Ale),American Black Ale,9,4,1314487604
5,47454,Coffee Stout (Brewmaster Series),American Double / Imperial Stout,8,4.5,1299361395
5,47692,Night Stalker,American Double / Imperial Stout,11.7,4,1298154732
5,47727,Chaos Chaos Imperial Stout,Russian Imperial Stout,10.1,4,1320526089
5,48044,Old No. 55,American Strong Ale,7.7,4.5,1312588668
5,48405,Black Damnation,Russian Imperial Stout,13,4,1287611824
5,48780,Double IPA (Brewmaster Series),American Double / Imperial IPA,8.6,4.5,1282513264
5,48915,Big Twitch,American IPA,8.2,4,1312664764
5,49789,A Little Sumpin' Sumpin' Ale,American Pale Wheat Ale,7.5,4.5,1292970927
5,50959,Pemaquid Oyster Stout,American Stout,5.4,4,1324431813
5,51679,Imperial Porter (Brewmaster Series),American Porter,8.3,4.5,1322361251
5,51896,Epic Armageddon,American IPA,6.66,4,1312660859
5,54484,White Birch Holiday Ale 2009,Tripel,10.4,5,1268439700
5,54522,Zoe,American Amber / Red Ale,7.2,4,1295051023
5,54690,Bourbon Barrel Aged Lake Trout Stout,American Stout,5.8,4.5,1320529201
5,55412,GUBNA Imperial IPA,American Double / Imperial IPA,10,4,1308426615
5,55554,Black Damnation II - Mocha Bomb,American Double / Imperial Stout,12,4.5,1295655709
5,55732,Bell's Batch 9000,American Strong Ale,12.5,4,1294612609
5,55900,Founders Nemesis 2009,Wheatwine,12,2.5,1291336093
5,56774,Black Damnation III - Black Mes,American Double / Imperial Stout,13,4,1306007995
5,57110,D.O.R.I.S. The Destroyer Double Imperial Stout,Russian Imperial Stout,10.5,4,1279318326
5,57738,Trapp Vienna Lager,Vienna Lager,5,4.5,1316039993
5,58299,Abner Imperial IPA,American Double / Imperial IPA,8.2,4.5,1319394211
5,58359,Nelson Sauvignon (Nelson Sauvin Brut),Belgian Strong Pale Ale,9,4.5,1323996232
5,58811,Labyrinth Black Ale,American Double / Imperial Stout,13.2,4,1279923027
5,59672,Hill Farmstead Citra IPA,American IPA,5.5,5,1290561911
5,60904,Black (黑) (Islay Edition),American Double / Imperial Stout,17.5,3,1321058511
5,61062,Everett Robust Porter,American Porter,7.5,4.5,1309822764
5,61125,Phil Brown,American Brown Ale,6,4,1323482175
5,62050,Otter Creek (Alpine) Black IPA,American Black Ale,6,4.5,1302129407
5,62172,Ephraim,American Double / Imperial IPA,10.5,4.5,1319242527
5,62319,Jim,American Black Ale,7.5,4,1317944866
5,62550,Fear And Trembling (Cabernet/Bourbon Blend),Baltic Porter,9.3,4.5,1299972733
5,62585,Borefts Bock 2010,Bock,6.2,4,1287012181
5,62972,Twilight Of The Idols,American Porter,7.5,4,1323134158
5,62987,Emelisse Imperial Doppelbock,Doppelbock,11.5,3,1288403404
5,63116,Firestone 14 - Anniversary Ale,American Strong Ale,12.5,4.5,1301089504
5,63522,Holger Danske,Smoked Beer,7.5,5,1291499301
5,63562,Great Lakes The Doppelrock,Doppelbock,7.8,4,1304029186
5,65079,Bourbon Barrel Aged Cant Dog,American Pale Ale (APA),9,4,1322352392
5,65638,White Birch Hooksett Ale,Belgian IPA,9.5,4,1315357241
5,66572,Outblack,Belgian Strong Dark Ale,10,4,1302218079
5,66573,Jaded (Import Series Vol. #3),Belgian Strong Dark Ale,10,4,1305847743
5,67760,Galaxy Imperial Single Hop IPA,American Double / Imperial IPA,8,4.5,1309725797
5,68026,Fantôme Magic Ghost,Saison / Farmhouse Ale,8,4.5,1323306396
5,68155,White Birch Apprentice Series Nyx,American Black Ale,7,4.5,1305150400
5,68916,Lunch,American IPA,7,4.5,1311801822
5,69522,Hill Farmstead Double Citra IPA,American Double / Imperial IPA,8,4.5,1306886222
5,71908,Throwback Campfire Smoked Porter,American Porter,6.4,4,1315525201
5,72465,Bitter Monk,Belgian IPA,9,4.5,1319153082
5,72789,White Birch Birchwood Smoked Stout,Smoked Beer,8.5,4.5,1318549142
5,74986,Lagunitas Sucks Holiday Ale,American Double / Imperial IPA,7.85,4,1325898813
7,90,Stone Smoked Porter,American Porter,5.9,4,1279572611
7,132,Ayinger Bräu Weisse,Hefeweizen,5.1,4.5,1274929658
7,135,Ayinger Ur-Weisse,Dunkelweizen,5.8,5,1274929292
7,665,Anchor Liberty Ale,American Pale Ale (APA),6,3,1278285565
7,808,Weihenstephaner Hefeweissbier Dunkel,Dunkelweizen,5.3,4.5,1275104227
7,4700,Baltika #8 Wheat,Hefeweizen,5,3.5,1278284951
7,43905,Stone Cali-Belgique,Belgian IPA,6.9,2.5,1274930915
10,33,Maudite,Belgian Strong Dark Ale,8,4,1175127392
10,58,Allagash Grand Cru,Quadrupel (Quad),7.2,4,1196903648
10,88,Stone IPA (India Pale Ale),American IPA,6.9,4.5,1182557296
10,156,Piraat Ale,Belgian IPA,10.5,3,1149214271
10,358,XS Imperial India Pale Ale,American Double / Imperial IPA,9.5,3,1177193432
10,386,Paulaner Oktoberfest-Märzen,Märzen / Oktoberfest,6,4,1186695036
10,694,Don de Dieu,Belgian Strong Pale Ale,9,4.5,1175734019
10,1180,Raison D'etre,Belgian Strong Dark Ale,8,4,1177194630
10,1372,Maximus,American Double / Imperial IPA,8.2,4,1175202218
10,1550,Stoudts American Pale Ale,American Pale Ale (APA),5,4,1175731214
10,1631,Augustijn Ale,Tripel,8,3.5,1149216561
10,1904,Sierra Nevada Celebration Ale,American IPA,6.8,4.5,1177194065
10,2512,Chimay Grande Réserve (Blue),Belgian Strong Dark Ale,9,4.5,1191363612
10,2526,Highland Gaelic Ale,American Amber / Red Ale,5.8,4.5,1256171760
10,3951,ApriHop,American IPA,7,4,1173742934
10,4083,Stone Ruination IPA,American Double / Imperial IPA,7.7,3.5,1175731842
10,5045,8 Ball Stout,Oatmeal Stout,6.3,2,1185413677
10,6549,Northern Hemisphere Harvest Wet Hop Ale,American IPA,6.7,4.5,1192145824
10,8919,G'Knight Imperial Red Ale,American Double / Imperial IPA,8.7,4.5,1175124584
10,16159,Lagunitas Sirius Ale,Cream Ale,7,4.5,1188342781
10,16403,"Smuttynose IPA ""Finest Kind""",American IPA,6.9,4,1175733432
10,19651,Dogtoberfest,Märzen / Oktoberfest,5.3,4.5,1191366374
10,20232,Terrapin Big Hoppy Monster,American Amber / Red Ale,8.3,4.5,1190331580
10,20389,Thomas Hooker Hop Meadow IPA,American IPA,6.5,4,1194911428
10,22042,Terrapin Rye Squared,American Double / Imperial IPA,8.5,4,1175732208
10,27837,Allagash Interlude,American Wild Ale,9.5,3,1182553567
10,35754,Double Dog Double Pale Ale,American Double / Imperial IPA,11.5,1.5,1188605747
10,36195,Terrapin Hop Karma IPA,American Brown Ale,6,4.5,1175889199
10,36744,Sweetwater Road Trip Ale,German Pilsener,,4.5,1178896281
10,37477,Sierra Nevada Anniversary Ale (2007-2009),American IPA,5.9,3,1189211243
10,37774,Schneider-Brooklyner Hopfen-Weisse,Weizenbock,8.2,4,1191014504
10,38225,Kill Ugly Radio,American Double / Imperial IPA,7.8,3,1193700849
10,38591,Samuel Adams Hallertau Imperial Pilsner,American Double / Imperial Pilsner,8.1,4,1192059031
10,39441,Our Special Ale 2007 (Anchor Christmas Ale),Winter Warmer,5.5,3.5,1194575363
10,43442,Coney Island Freaktoberfest,American Amber / Red Lager,6.66,2,1256947599
12,410,Ruedrich's Red Seal Ale,American Amber / Red Ale,5.5,4,1232759858
12,2302,Railbender Ale,Scottish Ale,6.8,4,1232760596
12,2960,Spezial Rauchbier Lager,Rauchbier,4.6,3.5,1229020242
12,3329,The Red MacGregor,Scottish Ale,4,4.5,1238299686
12,6302,Presque Isle Pilsner,German Pilsener,4.2,2.5,1232760178
12,7597,Pure Hoppiness,American Double / Imperial IPA,8,4,1238301804
12,8045,Trappist Achel 8° Bruin,Dubbel,8,4.5,1238298627
12,10484,Baird Angry Boy Brown Ale,English Brown Ale,6.2,4,1238300775
12,18943,Mountain High IPA,American IPA,7,3.5,1232761446
12,20345,Buffalo Belgian Stout,Belgian Strong Dark Ale,9,4.5,1232762284
12,25005,Ommegeddon,American Wild Ale,8,2.5,1238300051
12,33730,White Christmas Belgian Style Wit,Witbier,6,4,1236894663
12,37907,De Proef Reserve Signature Ale (w/ Tomme Arthur),Belgian Strong Pale Ale,8.5,4.5,1236895634
12,41092,Black (黑),American Double / Imperial Stout,17.5,4.5,1211475938
12,41867,Disputin - Russian Imperial Stout,Russian Imperial Stout,11,4.5,1238301445
12,42353,Avery Anniversary Ale - Fifteen,American Wild Ale,7.68,3,1236896236
12,42543,Seven Swabians Eisbock,Eisbock,13,2,1238300498
12,42836,Black Butte XX,American Porter,11,5,1238298968
12,43159,Innstadt Doppelbock Extra,Doppelbock,7.2,4,1238297971
12,47782,Cascade The Vine,American Wild Ale,8.33,4.5,1239126651
13,6306,Drie Fonteinen Oude Kriek,Lambic - Fruit,6,3.5,1325035985
13,48084,Reserve Wheat Ale,Berliner Weissbier,5,4.5,1326170542
13,71919,Lips Of Faith - Kick,Fruit / Vegetable Beer,8.5,3,1325464257
14,213,Full Sail Amber,American Amber / Red Ale,5.5,4,1279837108
14,356,Imperial Stout,Russian Imperial Stout,11,4.5,1219030990
14,459,Fred,American Strong Ale,10,5,1287186484
14,706,Tetley's English Ale,English Pale Ale,3.6,4,1267638649
14,709,Big Eye IPA,American IPA,7,4,1297034595
14,755,"Carnegie Porter 5,5%",Baltic Porter,5.5,4,1277599188
14,759,Schneider Wiesen Edel-Weisse Mein Grunes,Hefeweizen,6.2,5,1289677997
14,1056,Double Bastard Ale,American Strong Ale,10.5,4,1292700654
14,1173,Santa's Private Reserve Ale,American Amber / Red Ale,6,4,1294635320
14,1445,Anchor Old Foghorn,English Barleywine,8.2,4,1259000800
14,1490,Hog Heaven Barley Wine,American Barleywine,9.2,3,1302209326
14,1579,Olde GnarlyWine,American Barleywine,10.6,4.5,1302650311
14,1658,Big Bear Black Stout,American Double / Imperial Stout,8.1,5,1226371077
14,1855,St. Bernardus Prior 8,Dubbel,8,4,1225694570
14,1867,Old Stock Ale,Old Ale,11.9,4,1305844956
14,2013,Hitachino Nest White Ale,Witbier,5,4,1297029651
14,2519,Marin India Pale Ale,American IPA,7,5,1231203560
14,2520,San Quentin Breakout Stout,Foreign / Export Stout,7,4,1236568974
14,2566,Maredsous 10 - Triple,Tripel,10,4,1228194583
14,2678,Horn Dog Barley Wine Style Ale,English Barleywine,10.5,5,1222655032
14,2838,Marin Star Brew-Triple Wheat Ale,Wheatwine,9.2,4.5,1293081957
14,2912,Old Dipsea Barleywine Style Ale,American Barleywine,9.6,3.5,1266471325
14,3732,Gale's Prize Old Ale,Old Ale,9,3.5,1277689429
14,4041,Kilt Lifter Scotch Ale,Scotch Ale / Wee Heavy,8,4,1281998564
14,4647,Blue Bell Bitter,Extra Special / Strong Bitter (ESB),5.4,4,1236529638
14,5716,Sweetgrass APA,American Pale Ale (APA),6.5,3.5,1301700450
14,5799,Bacchus,Flanders Oud Bruin,4.5,4,1273372814
14,6533,Olde School Barleywine,American Barleywine,15.04,4,1294264084
14,7451,Goudale,Bière de Garde,7.2,4.5,1274135964
14,7850,The Czar,Russian Imperial Stout,11.03,4,1253754020
14,10536,W'11 (KGB Imperial Stout),Russian Imperial Stout,9.3,2,1304634603
14,11922,Titan IPA,American IPA,7.1,4.5,1299131310
14,12051,Raven's Eye Imperial Stout,Russian Imperial Stout,9.5,4,1290133869
14,13416,10 Squared Fish Tale Ale,American Barleywine,10,4,1299360903
14,15619,The Beast Grand Cru,Belgian Strong Dark Ale,16.83,3.5,1281233229
14,16509,De Dolle Extra Export Stout,Foreign / Export Stout,9,3.5,1299717236
14,16553,Drake's Port Barrel Imperial Stout,Russian Imperial Stout,11,3.5,1219029669
14,17060,Hercules Double IPA,American Double / Imperial IPA,10,5,1299262912
14,17498,Brother David's Triple Abbey Style Ale,Tripel,10,3.5,1268436304
14,18014,Hop Juice Double IPA,American Double / Imperial IPA,9.4,4,1268018049
14,18862,Burton Baton,American Double / Imperial IPA,10,3.5,1272221083
14,19426,Fuller's Vintage Ale,Old Ale,8.5,4,1270772713
14,20905,Lump Of Coal,Foreign / Export Stout,8,2.5,1289440513
14,20931,Old Ruffian Barley Wine,American Barleywine,10.2,3.5,1278728567
14,22165,Oppigårds Winter Ale,Winter Warmer,5.3,4,1292119668
14,22227,Supplication,American Wild Ale,7,5,1319222709
14,22273,Drake's Denogginizer,American Double / Imperial IPA,9.75,3,1289858359
14,25265,Blue Dot Double India Pale Ale,American Double / Imperial IPA,7,4,1219030342
14,25489,# 100,American Barleywine,10,5,1217047332
14,26541,Lips Of Faith - Le Terroir,American Wild Ale,7.5,4,1301098743
14,28204,Mephistopheles' Stout,American Double / Imperial Stout,16.8,4,1223438531
14,29619,Sculpin India Pale Ale,American IPA,7,4,1268090001
14,30420,Sierra Nevada Torpedo Extra IPA,American IPA,7.2,3,1298151357
14,30908,Dead Leaf Green,English Pale Ale,5.5,3,1292701968
14,31613,Old Viscosity,American Double / Imperial Stout,10,5,1224044644
14,32413,The Angel's Share - Bourbon Barrel-Aged,American Strong Ale,12.5,5,1225257451
14,32432,Total Domination IPA,American IPA,6.7,4,1294724216
14,33467,High Tide Fresh Hop IPA,American IPA,6.5,4.5,1224804431
14,33599,Barleywine Style Ale,American Barleywine,10.9,4,1265818136
14,33907,Kosacken,Russian Imperial Stout,7.5,2,1301025299
14,34094,Older Viscosity,American Double / Imperial Stout,12,4.5,1230431128
14,34420,The Abyss,American Double / Imperial Stout,11,4,1227244658
14,34782,Old Rasputin X Anniversary Barrel Aged Stout,Russian Imperial Stout,11.7,5,1224400317
14,34877,Collaboration Not Litigation Ale,Belgian Strong Dark Ale,8.72,4.5,1240889508
14,35732,Green Flash Hop Head Red Ale,American Amber / Red Ale,7,3,1302227888
14,35924,Alaskan Barley Wine (Pilot Series),American Barleywine,10.7,4.5,1292283524
14,36527,Allagash Hugh Malone,Belgian IPA,8.5,4.5,1217046902
14,37381,Believer,American Amber / Red Ale,6.9,4,1294775534
14,37595,½ Idjit!,American Porter,7,4,1301431787
14,37836,Hitachino Nest Espresso Stout,American Double / Imperial Stout,7.5,4,1297451864
14,39296,Oatis,Oatmeal Stout,7.2,3.5,1287858100
14,39775,Big Worse,American Barleywine,12,4,1231125823
14,40744,Stone Old Guardian Barley Wine Style Ale 2008,American Barleywine,11.26,4,1222191566
14,41154,Ola Dubh Special Reserve 30,Old Ale,8,4.5,1225864198
14,41471,Special Edition - Bock Beer,Bock,7,4,1265571870
14,41680,BrewDog Paradox Speyside (Batch 005) - Glen Moray 1992,American Double / Imperial Stout,10,4.5,1221014785
14,42533,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,American IPA,6.7,4,1279768020
14,42723,Espresso Oak Aged Yeti Imperial Stout,American Double / Imperial Stout,9.5,4.5,1277849605
14,43659,We're Only In It For The Money,Tripel,8.2,5,1217280020
14,44016,Professor Fritz Briem 13th Century Grut Bier,Scottish Gruit / Ancient Herbed Ale,4.6,4,1300064236
14,44409,The Dissident,Flanders Oud Bruin,10.5,3.5,1226802615
14,44750,"Full Sail ""21"" - Anniversary Doppelbock",Doppelbock,8,5,1226299796
14,45897,Velvet Merlin (Merkin),Oatmeal Stout,5.5,4.5,1290466263
14,46070,Back In Black,American Black Ale,6.8,2.5,1293820158
14,46188,Sea Monster Imperial Stout,American Double / Imperial Stout,10,3.5,1298944832
14,46385,Yakima Glory,American Black Ale,8.7,4,1300837050
14,46649,Drake's Hopocalypse,American Double / Imperial IPA,9.25,4,1301374475
14,47120,Sleigh'r Dark Doüble Alt Ale,Altbier,7.2,3.5,1290911707
14,47558,Lips Of Faith - Dark Kriek,American Wild Ale,8,4.5,1242265259
14,47647,YuleSmith (Winter),American Amber / Red Ale,9.5,4.5,1295483086
14,48158,Sless' Oatmeal Stout,Oatmeal Stout,7,4.5,1235690239
14,48250,Arctic Circle Ale,Sahti,7.3,4,1292207432
14,48281,Serpents Stout - Bourbon Barrel-Aged,American Double / Imperial Stout,11,4.5,1298151705
14,48385,Undercover Investigation Shut-down Ale,American Strong Ale,9.7,3.5,1275849133
14,48505,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10,4,1298757320
14,48969,2009 Correction Ale,American IPA,6.33,5,1242366275
14,49003,Demolition,Belgian Pale Ale,7.2,4,1289608057
14,49139,Old Prospector Barleywine,English Barleywine,10,5,1324353852
14,50846,Black Butte XXI,American Porter,11,5,1264558816
14,51071,Captain Sig's Northwestern Ale,American Amber / Red Ale,6.2,3,1318117493
14,51420,Santa's Little Helper - Bourbon Barrel Aged,American Double / Imperial Stout,10,3,1250555001
14,51866,Sinners Blend 2009,Belgian Strong Dark Ale,8,5,1293167878
14,53134,Mischief,Belgian Strong Pale Ale,8.5,2,1292806451
14,53167,DuganA IPA,American Double / Imperial IPA,8.5,4.5,1289159740
14,53256,Black Xantus,American Double / Imperial Stout,11,5,1268760819
14,53470,He'Brew Jewbelation Bar Mitzvah (13),American Strong Ale,13,4,1269641975
14,53872,Firestone 13 - Anniversary Ale,American Strong Ale,12,4,1286500651
14,54194,Concentrated Evil,Belgian Strong Dark Ale,11,4,1287775267
14,54211,I Beat YoU,American Double / Imperial IPA,9.75,3.5,1287256011
14,54731,Aecht Schlenkerla Eiche,Doppelbock,8,4,1299794248
14,54913,Payback Porter,American Porter,7.5,4,1271182344
14,55286,Deadlift Imperial IPA,American Double / Imperial IPA,8.6,3,1275364816
14,55317,John John Dead Guy Ale,Maibock / Helles Bock,6.4,4.5,1275779942
14,55692,Jubel 2010 (Once A Decade Ale),American Strong Ale,10,3.5,1293470596
14,57202,Pepe Nero,Saison / Farmhouse Ale,6,4,1304458950
14,57539,Rampage Imperial IPA,American Double / Imperial IPA,9,4,1288136826
14,57819,Seattle Beer Week 2010 DIPA,American Double / Imperial IPA,8.3,4,1277075289
14,57836,Bitter Truth,Belgian IPA,10,4,1273295511
14,57912,A Little Sumpin' Wild,Belgian IPA,9.4,3,1293523020
14,57951,Emelisse Rauchbier,Rauchbier,6.2,3.5,1297216884
14,58608,Emelisse Barley Wine Ale,English Barleywine,10.5,3.5,1301165613
14,59246,Truffle Shuffle,American Stout,7.2,4,1277074940
14,59285,Black Tie,American Double / Imperial Stout,11.5,3,1301792734
14,59741,Beer Geek Bacon,American Double / Imperial Stout,7.5,3.5,1298152901
14,60842,San Diego County Session Ale,American Pale Ale (APA),4.2,4.5,1296982830
14,62254,Stone 10.10.10 Vertical Epic Ale,Belgian Strong Pale Ale,9.5,2.5,1288564540
14,62645,Lukcy 13asartd Ale,American Strong Ale,8.5,3.5,1293669665
14,62788,He'Brew Jewbelation Fourteen,American Strong Ale,14,2,1298350285
14,63511,Imperial Eclipse Stout - Four Roses Bourbon,American Double / Imperial Stout,9.5,5,1292805963
14,65944,Hop Riot IPA,American IPA,7.3,3.5,1298152023
14,67922,Johnny Mo's Tres Vieux IPA,American IPA,7,2.5,1303416403
14,70745,Oude Gueuze Tilquin à L’Ancienne,Gueuze,6,4,1319164790
14,71774,Lips Of Faith - Clutch Collabeeration,American Wild Ale,9.5,5,1319053532
14,72720,Voodoo Doughnut Maple Bacon Ale,Smoked Beer,5.6,2,1323048630
14,72762,Alaskan Perseverance Ale (Pilot Series),Russian Imperial Stout,9,3.5,1320264600
14,75202,Drake's Jolly Rodger 2011,American Black Ale,8.75,5,1322953642
14,76836,Asleep At The Wheel,American Strong Ale,,4,1325370020
17,41702,Theobroma,Chile Beer,9,4,1288079876
17,60284,SOS (Save Our Shore),German Pilsener,7,4,1287639327
18,55,Redhook Double Black Stout (with Coffee),American Double / Imperial Stout,7,4,1236999149
18,2690,Lumpy Dog Light Lager,Light Lager,4.4,3.5,1237308111
18,26542,2° Below Winter Ale,Extra Special / Strong Bitter (ESB),6.6,4,1234486295
18,29022,Double Down Stout,American Stout,,4,1234141321
18,51300,Lips Of Faith - Biere De Mars,Bière de Garde,6.2,5,1236277600
19,224,Schneider Aventinus,Weizenbock,8.2,4.5,1297729563
19,6853,Neuzeller Kloster-Bräu Schwarzer Abt (Black Abbot),Schwarzbier,3.9,1,1239935115
20,65,Budweiser,American Adjunct Lager,5,3.5,1214284235
20,73,Young's Double Chocolate Stout,Milk / Sweet Stout,5.2,3.5,1208785529
20,101,Samuel Adams Winter Lager,Bock,5.5,4,1209203131
20,104,Samuel Adams Boston Lager,Vienna Lager,4.9,4,1209172389
20,232,Corona Extra,American Adjunct Lager,4.6,4,1212933668
20,246,Heineken Lager Beer,Euro Pale Lager,5,3,1244704997
20,263,Schlitz,American Adjunct Lager,4.6,5,1208784251
20,332,Miller Lite,Light Lager,4.17,4,1208784929
20,429,Pilsner Urquell,Czech Pilsener,4.4,4.5,1233466983
20,571,Samuel Smith's Oatmeal Stout,Oatmeal Stout,5,5,1208755758
20,576,Samuel Smith's Nut Brown Ale,English Brown Ale,5,4.5,1214301281
20,580,Miller High Life,American Adjunct Lager,5,5,1208150789
20,670,Busch Beer,American Adjunct Lager,4.6,3.5,1208147058
20,718,Steel Reserve 211 (High Gravity),American Malt Liquor,8.1,3,1209200509
